VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,235590.40,8/26/2021
CINTAS CORPORATION,CONTRACTUAL SERVICES,18069.97,5/17/2021
"THE MCS GROUP, INC.",ADMINISTRATION & HR,3595.38,9/9/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,104314.43,2/3/2021
"PREMIER STAFFING SOURCE, INC.",CONSULTING,4282.20,7/26/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,87194.05,12/14/2021
"THOMPSON COBURN, LLC",LEGAL COSTS,63839.24,6/30/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,1007969.56,8/30/2021
"INDUSTRIAL ENGINE SERVICE, INC.",DIRECT PURCHASES,7554.29,11/22/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,109149.92,6/16/2021
CITATION BOX & PAPER CO.,DIRECT PURCHASES,1144.00,10/7/2021
"OER SERVICES, LLC",EQUIPMENT RENTAL,10500.00,5/12/2021
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,44825.71,12/14/2021
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,37720.00,4/1/2021
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,3343.73,5/26/2021
MP2 ENERGY NE LLC,UTILITIES EXPENSE,431411.76,7/7/2021
"PHAMATECH, INC.",ADMINISTRATION & HR,12800.00,5/6/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,14976.44,12/15/2021
Wensco,DIRECT PURCHASES,681.55,4/22/2021
PNC BANK,GENERAL EXPENSES,189.00,10/21/2021
"LUMINATOR TECHNOLOGY GROUP, INC.",FINANCIAL & TREAS SVCS,106630.50,7/19/2021
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,610.00,11/26/2021
CINTAS CORPORATION,DIRECT PURCHASES,95.54,12/8/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,34577.86,5/10/2021
CUMMINS INC.,MAINTENANCE & REPAIRS,100.00,3/1/2021
PNC BANK,ADVERTISING & PROMOTION,389.93,6/15/2021
"WISCO, INC.",DIRECT PURCHASES,560.91,5/20/2021
PEOPLES GAS,UTILITIES EXPENSE,144005.09,8/18/2021
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,37702.04,6/10/2021
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,498.77,4/8/2021
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,11340.00,10/19/2021
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,2249.00,7/12/2021
"PREMIER STAFFING SOURCE, INC.",CONSULTING,2872.80,2/17/2021
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,51.00,9/9/2021
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,12296.00,1/14/2021
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,69720.05,4/1/2021
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,79808.53,9/9/2021
MARK BOWEN M.D.,ADMINISTRATION & HR,375.00,11/4/2021
RIVER NORTH PAIN MANAGEMENT CONSULTANTS,LEGAL COSTS,750.00,10/7/2021
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,30725.00,11/29/2021
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,3/25/2021
LATHROP GAGE LLP,LEGAL COSTS,61.00,9/2/2021
METROPOLITAN WATER RECLAMATION..,UTILITIES EXPENSE,47173.79,1/11/2021
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5708.33,10/28/2021
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,8074.85,12/8/2021
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,2649.00,11/4/2021
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,4144.00,12/9/2021
MP2 ENERGY NE LLC,UTILITIES EXPENSE,370912.13,11/11/2021
"THOMPSON COBURN, LLC",LEGAL COSTS,9646.50,7/14/2021
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,283.70,1/27/2021
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,3600.00,7/8/2021
BURKE BURNS & PINELLI LTD.,LEGAL COSTS,88.50,7/8/2021
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,12/1/2021
"MOBILE MINI, INC",EQUIPMENT RENTAL,990.00,1/28/2021
"INSPE ASSOCIATES,LTD.",ADMINISTRATION & HR,6180.00,6/17/2021
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1039.68,9/9/2021
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,2078.00,12/23/2021
"CONCARE, INC.",MAINTENANCE & REPAIRS,23788.34,3/25/2021
GRANT LAW LLC,LEGAL COSTS,7195.00,2/10/2021
PEOPLES GAS,UTILITIES EXPENSE,504191.12,12/29/2021
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,GENERAL EXPENSES,250.00,3/1/2021
"HERITAGE-CRYSTAL CLEAN, LLC",MAINTENANCE & REPAIRS,16000.00,3/15/2021
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,8749.45,4/7/2021
ENTERPRISE FLEET SERVICES,EQUIPMENT RENTAL,44012.98,7/28/2021
HEGENSCHEIDT CORP.,MAINTENANCE & REPAIRS,9358.61,3/1/2021
H.R. SLATER COMPANY,MAINTENANCE & REPAIRS,1684.80,3/29/2021
"INSPE ASSOCIATES,LTD.",LEGAL COSTS,3150.00,9/2/2021
TKOS II LLC,GENERAL EXPENSES,3789.59,8/5/2021
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,2/4/2021
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,69642.61,3/25/2021
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,10/6/2021
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,56062.02,7/20/2021
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,779.40,12/23/2021
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,16.25,12/2/2021
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,8467.20,10/19/2021
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,1450.64,6/3/2021
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,68808.22,11/12/2021
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,5600.64,8/26/2021
"PROTANIC, INC.",MAINTENANCE & REPAIRS,938.69,5/24/2021
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,262166.98,8/2/2021
"PROTANIC, INC.",MAINTENANCE & REPAIRS,10575.48,6/28/2021
UNITED PARCEL SERVICE,GENERAL EXPENSES,697.31,8/5/2021
TIFFANY SMITH,LEGAL COSTS,150.00,2/25/2021
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,67131.76,9/22/2021
UNITED PARCEL SERVICE,GENERAL EXPENSES,1147.78,12/23/2021
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,60.60,3/18/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,503309.46,10/6/2021
"PROTANIC, INC.",MAINTENANCE & REPAIRS,53397.15,3/29/2021
*HI-TEK ENVIRONMENTAL- d/b/a STAT,CONTRACTUAL SERVICES,391.00,2/11/2021
GENUINE PARTS COMPANY (NAPA),ADMINISTRATION & HR,7896.00,5/10/2021
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,184471.75,7/5/2021
"WISCO, INC.",MAINTENANCE & REPAIRS,464.62,10/14/2021
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,15350.40,7/7/2021
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,14998.76,4/8/2021
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,4880.00,4/1/2021
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,4708.80,5/5/2021
"PREMIER STAFFING SOURCE, INC.",CONSULTING,2160.00,12/29/2021
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1135.80,10/27/2021
"*ALVAREZ, INC.",CONTRACTUAL SERVICES,40347.25,9/9/2021
"MOBILE MINI, INC",EQUIPMENT RENTAL,1320.00,4/29/2021
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,1268.88,10/6/2021
PEOPLES GAS,UTILITIES EXPENSE,42094.57,11/17/2021
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,6012.50,5/19/2021
COZEN O'CONNOR,LEGAL COSTS,413.00,12/9/2021
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,259.20,3/11/2021
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",FINANCIAL & TREAS SVCS,8546.94,11/4/2021
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,769.50,12/8/2021
"*MOTR GRAFX, LLC",GENERAL EXPENSES,1359.00,10/7/2021
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,287.80,9/13/2021
