VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,32816.00,4/1/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,108142.09,6/10/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,8535.63,3/11/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,620523.20,7/20/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,12591.56,3/10/2020
"VERITEXT, LLC",GENERAL EXPENSES,693.05,2/4/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,288883.21,2/25/2020
CINTAS CORPORATION,CONTRACTUAL SERVICES,8164.13,5/27/2020
"WISCO, INC.",DIRECT PURCHASES,676.98,2/27/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,52821.42,9/16/2020
"PROTANIC, INC.",MAINTENANCE & REPAIRS,19362.09,5/27/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,294280.14,10/5/2020
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,141.50,9/23/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,15531.25,9/23/2020
UNITED PARCEL SERVICE,GENERAL EXPENSES,392.82,5/7/2020
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,5698.00,12/17/2020
KONE SPARES,DIRECT PURCHASES,31493.00,2/18/2020
ZIONS BANK,GENERAL EXPENSES,39402.66,2/14/2020
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,10/28/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,6369.68,11/4/2020
Konecranes,MAINTENANCE & REPAIRS,5140.66,11/12/2020
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,77017.18,7/29/2020
COMPUTER AID INC,TECHNOLOGY SERVICES,489274.03,5/11/2020
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,56226.31,4/29/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,1432.50,5/19/2020
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,1709.94,7/30/2020
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,36015.00,12/3/2020
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,52.80,2/7/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,644.00,9/2/2020
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,9082.80,11/25/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,14598.70,2/13/2020
"OER SERVICES, LLC",EQUIPMENT RENTAL,1302.00,3/5/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,123827.93,7/20/2020
METROPOLITAN WATER RECLAMATION..,UTILITIES EXPENSE,16761.61,2/18/2020
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",FINANCIAL & TREAS SVCS,6952.90,2/25/2020
CINTAS CORPORATION,CONTRACTUAL SERVICES,1468.92,7/15/2020
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,396746.97,5/13/2020
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,145.34,1/13/2020
MCGILL CONSTRUCTION CO LLC,MAINTENANCE & REPAIRS,12200.00,8/5/2020
"CHICAGO SUN-TIMES, INCORPORATED dba Sun-Times Media Productions, LLC",ADVERTISING & PROMOTION,1157.36,4/23/2020
MURRAY & TRETTEL INC,GENERAL EXPENSES,416.25,9/3/2020
GENUINE PARTS COMPANY (NAPA),CONSULTING,145506.20,6/10/2020
Wensco,ADVERTISING & PROMOTION,2186.12,10/29/2020
SCANTRON CORPORATION,GENERAL EXPENSES,389.99,2/4/2020
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,4399.18,4/15/2020
*VIVA USA INC,CONTRACTUAL SERVICES,4309.20,2/7/2020
ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,CONTRACTUAL SERVICES,235.00,2/7/2020
ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,MAINTENANCE & REPAIRS,500.00,2/25/2020
ATI HOLDING LLC,ADMINISTRATION & HR,400.00,11/5/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,47663.08,11/30/2020
ZIONS BANK,GENERAL EXPENSES,192164.22,4/1/2020
"SVANACO, INC.",TECHNOLOGY SERVICES,27975.00,6/8/2020
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,648124.41,11/30/2020
"*THE BLUEPRINT SHOPPE, INC.",CONTRACTUAL SERVICES,261.49,10/29/2020
MARGO NEWMAN,LEGAL COSTS,875.00,9/24/2020
PAIN & SPINE INSTITUE,ADMINISTRATION & HR,750.00,6/18/2020
RICHARD M STANTON,LEGAL COSTS,300.00,11/25/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,190.26,6/8/2020
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5622.08,7/30/2020
CITY OF CHICAGO         (3),LEGAL COSTS,25.00,10/15/2020
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,110620.20,9/23/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,47855.45,10/14/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,82561.39,4/8/2020
"ESRI, INC.",MAINTENANCE & REPAIRS,2376.00,7/16/2020
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,13248.25,12/7/2020
COMPUTER AID INC,TECHNOLOGY SERVICES,511294.05,3/25/2020
"WISCO, INC.",MAINTENANCE & REPAIRS,667.70,2/6/2020
AGAE / PRO FENCE JOINT VENTURE,MAINTENANCE & REPAIRS,6853.76,5/14/2020
KONE SPARES,DIRECT PURCHASES,66703.26,8/26/2020
"MENARD INDUSTRIES, LLC, d/b/a MENARD'S RAILROAD MATERIALS",CONTRACTUAL SERVICES,1536.55,6/15/2020
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,1872.98,5/5/2020
MEDIAAGILITY INC,TECHNOLOGY SERVICES,3645.69,9/3/2020
PNC BANK,LEGAL COSTS,154.33,11/16/2020
"QUEST DIAGNOSTICS, INC,",ADMINISTRATION & HR,101631.80,1/24/2020
"*MOTR GRAFX, LLC",GENERAL EXPENSES,235.00,9/3/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,83143.33,4/1/2020
"*DIGBY'S DETECTIVE & SECURITY AGENCY, INC.",PURCHASE OF SECURITY SERVICES,356758.26,5/11/2020
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,18553.37,7/9/2020
COMMONWEALTH EDISON.,UTILITIES EXPENSE,246362.16,1/14/2020
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,14722.16,7/22/2020
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,4457.04,6/18/2020
CONTINENTAL LANGUAGES LLC,CONTRACTUAL SERVICES,225.00,12/17/2020
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,712.32,3/23/2020
"GLORY GLOBAL SOLUTIONS, INC.",TECHNOLOGY SERVICES,10266.57,2/7/2020
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,125.03,7/8/2020
METROPOLITAN INSTITUTE OF PAIN,ADMINISTRATION & HR,1500.00,7/30/2020
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,780.00,5/27/2020
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,1841.44,10/5/2020
CK REPORTING,LEGAL COSTS,51.09,9/10/2020
