VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,443706.85,3/1/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,81220.67,4/14/2022
STAPLES ADVANTAGE,DIRECT PURCHASES,27950.82,6/30/2022
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,29331.00,8/4/2022
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,17036.47,2/3/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,125959.33,3/22/2022
AN EXECUTIVE DECISION,GENERAL EXPENSES,2725.70,3/24/2022
"STEVE'S EQUIPMENT SERVICE, INC.",MAINTENANCE & REPAIRS,3323.20,7/20/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,720.00,8/25/2022
CINTAS CORPORATION,CONTRACTUAL SERVICES,7008.49,4/14/2022
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,17293.73,5/19/2022
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,1953.04,7/19/2022
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,335066.79,8/30/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,3965.70,5/24/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,1010.00,2/10/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,819.55,5/10/2022
"RADICOM, INC.",MAINTENANCE & REPAIRS,22200.00,9/15/2022
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,126103.80,2/24/2022
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,39590.50,8/2/2022
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,16800.00,4/21/2022
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,4896.00,3/1/2022
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,9.08,5/12/2022
GENUINE PARTS COMPANY (NAPA),ADMINISTRATION & HR,15792.00,5/24/2022
"INTERSECTION MEDIA, LLC",ADVERTISING & PROMOTION,5000.00,9/8/2022
ADVOCATE HEALTH & HOSPITAL,ADMINISTRATION & HR,750.00,1/13/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,62705.88,3/24/2022
"U.S. LEGAL SUPPORT, INCORPORATED",ADMINISTRATION & HR,126.50,9/1/2022
CLAREMONT LLC,CONTRACTUAL SERVICES,555.00,8/11/2022
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,3/24/2022
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,17707.50,6/9/2022
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,422037.65,3/1/2022
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,352.60,4/21/2022
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,1622020.31,1/19/2022
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,3/24/2022
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,2128.00,6/16/2022
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,11456.68,4/28/2022
LEAH WARGOLET,ADMINISTRATION & HR,125.00,7/14/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,965.50,3/8/2022
"SIEMENS INDUSTRY, INC.",DIRECT PURCHASES,4516.90,9/29/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,1/6/2022
UNIVERSITY OF WISCONSIN- MADISON,TRAVEL & MEETING EXPENSE,1195.00,9/1/2022
APPLIED INDUSTRIAL TECHNOLOGIES,DIRECT PURCHASES,3991.50,7/7/2022
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60.00,8/18/2022
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,2/17/2022
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,951.00,5/26/2022
PNC BANK,MAINTENANCE & REPAIRS,49.02,2/15/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,3/24/2022
"ZIPCAR, INC.",EQUIPMENT RENTAL,42.35,8/30/2022
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,1686.00,2/24/2022
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4400.00,3/17/2022
HOLLAND & KNIGHT LLP,LEGAL COSTS,826.00,8/18/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,70.00,9/20/2022
"CHICAGO SUN-TIMES, INCORPORATED dba Sun-Times Media Productions, LLC",GENERAL EXPENSES,696.80,9/12/2022
REHABILITATION INSTITUTE OF CHICAGO,ADMINISTRATION & HR,750.00,8/11/2022
MCMANUS DIRECT,ADVERTISING & PROMOTION,1200.00,5/5/2022
"CORE MECHANICAL, INC.",MAINTENANCE & REPAIRS,6295.00,9/29/2022
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,5/5/2022
"PHAMATECH, INC.",ADMINISTRATION & HR,5115.00,1/13/2022
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,2695.00,4/26/2022
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60.00,8/18/2022
LATHROP GAGE LLP,LEGAL COSTS,130.50,9/29/2022
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,5816.00,7/7/2022
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5512.84,3/24/2022
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,9072.63,2/8/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1484.55,2/3/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,513.48,5/10/2022
"WISCO, INC.",MAINTENANCE & REPAIRS,818.40,3/17/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,675.00,5/12/2022
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,49564.23,7/14/2022
CORPORATE CONCEPTS INC,MAINTENANCE & REPAIRS,15532.50,8/25/2022
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,1/5/2022
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,14651.38,7/7/2022
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1661.60,3/17/2022
PNC BANK,TRAVEL & MEETING EXPENSE,2376.73,9/15/2022
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,44859.62,3/10/2022
AT & T CORP,UTILITIES EXPENSE,46507.33,8/4/2022
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,580.00,8/18/2022
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,82642.55,8/30/2022
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,9328.33,7/29/2022
"GARTNER, INCORPORATED",GENERAL EXPENSES,43638.00,2/10/2022
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,10319.02,3/22/2022
CITY OF BURBANK,GENERAL EXPENSES,100.00,3/17/2022
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,260.66,1/26/2022
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,41518.24,1/13/2022
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,3775.00,4/20/2022
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,45708.63,5/12/2022
SDI PRESENCE LLC,TECHNOLOGY SERVICES,304779.00,3/1/2022
"ORACLE AMERICA, INC.",TECHNOLOGY SERVICES,74859.94,3/29/2022
CK REPORTING,LEGAL COSTS,962.60,4/21/2022
CINTAS CORPORATION,DIRECT PURCHASES,95.54,1/27/2022
JAF REPORTING,LEGAL COSTS,680.60,2/3/2022
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1039.16,5/3/2022
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,3/24/2022
COMPUTER AID INC,TECHNOLOGY SERVICES,45398.43,6/14/2022
PNC BANK,MAINTENANCE & REPAIRS,2196.22,9/15/2022
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,9/13/2022
MIDWEST ORTHOPAEDIC CONSULTANTS,ADMINISTRATION & HR,750.00,3/14/2022
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,850.00,8/9/2022
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1335.70,9/1/2022
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,187.50,8/25/2022
THE CAREER CENTER UNIVERSITY OF ILLINOIS,ADVERTISING & PROMOTION,200.00,3/10/2022
KEEFE REPORTING COMPANY,LEGAL COSTS,132.95,6/16/2022
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,3598.00,6/16/2022
"LUMINATOR TECHNOLOGY GROUP, INC.",MAINTENANCE & REPAIRS,28875.00,8/9/2022
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,21232.63,6/16/2022
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,882.65,7/29/2022
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,7374.33,1/5/2022
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,10605.00,9/1/2022
PACER SERVICE CENTER,GENERAL EXPENSES,243.80,1/18/2022
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000.00,8/25/2022
MEDIAAGILITY INC,TECHNOLOGY SERVICES,3040.77,5/5/2022
